Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,B365H,B365D,B365A,idmatch,FTRfrench
2016-10-02,Angers,Marseille,D,1,1,2.63,3,3,Angers-Marseille,N
2016-10-02,Lyon,St Etienne,H,2,0,1.73,3.6,5,Lyon-St Etienne,1
2016-10-02,Nice,Lorient,H,2,1,1.8,3.5,4.75,Nice-Lorient,1
2016-10-14,Nice,Lyon,H,2,0,2.9,3.4,2.38,Nice-Lyon,1
2016-10-14,Toulouse,Monaco,H,3,1,3,3.2,2.5,Toulouse-Monaco,1
2016-10-15,Bastia,Angers,A,1,2,2.5,2.8,3.25,Bastia-Angers,2
2016-10-15,Guingamp,Lille,H,1,0,2.45,3.1,3.1,Guingamp-Lille,1
2016-10-15,Lorient,Nantes,A,1,2,2.5,3.2,3,Lorient-Nantes,2
2016-10-15,Montpellier,Caen,H,3,2,1.85,3.4,4.5,Montpellier-Caen,1
2016-10-15,Nancy,Paris SG,A,1,2,10,5,1.33,Nancy-Paris SG,2
2016-10-16,Marseille,Metz,H,1,0,1.44,4.33,7.5,Marseille-Metz,1
2016-10-16,Rennes,Bordeaux,D,1,1,2.38,3.3,3.1,Rennes-Bordeaux,N
2016-10-16,St Etienne,Dijon,D,1,1,1.73,3.6,5,St Etienne-Dijon,N
2016-10-21,Monaco,Montpellier,H,6,2,1.67,3.75,5.5,Monaco-Montpellier,1
2016-10-22,Angers,Toulouse,D,0,0,2.5,3.1,3.1,Angers-Toulouse,N
2016-10-22,Bordeaux,Nancy,D,1,1,1.8,3.4,5,Bordeaux-Nancy,N
2016-10-22,Dijon,Lorient,H,1,0,2.15,3.3,3.6,Dijon-Lorient,1
2016-10-22,Lille,Bastia,H,2,1,1.73,3.4,5.25,Lille-Bastia,1
2016-10-22,Lyon,Guingamp,A,1,3,1.53,4.1,6.5,Lyon-Guingamp,2
2016-10-22,Nantes,Rennes,A,1,2,2.25,3.1,3.6,Nantes-Rennes,2
2016-10-23,Caen,St Etienne,A,0,2,2.55,3.1,2.88,Caen-St Etienne,2
2016-10-23,Metz,Nice,A,2,4,3.75,3.4,2.05,Metz-Nice,2
2016-10-23,Paris SG,Marseille,D,0,0,1.29,5.5,11,Paris SG-Marseille,N
2016-10-28,Lille,Paris SG,A,0,1,6.5,4,1.55,Lille-Paris SG,2
2016-10-29,Bastia,Dijon,D,0,0,2.3,3.1,3.4,Bastia-Dijon,N
2016-10-29,Guingamp,Angers,H,1,0,2.3,3.2,3.3,Guingamp-Angers,1
2016-10-29,Lorient,Montpellier,D,2,2,2.3,3.1,3.4,Lorient-Montpellier,N
2016-10-29,Nancy,Caen,H,2,0,2.15,3.1,3.8,Nancy-Caen,1
2016-10-29,St Etienne,Monaco,D,1,1,2.75,3,2.8,St Etienne-Monaco,N
2016-10-29,Toulouse,Lyon,A,1,2,2.8,3.25,2.6,Toulouse-Lyon,2
2016-10-30,Marseille,Bordeaux,D,0,0,2.1,3.2,3.8,Marseille-Bordeaux,N
2016-10-30,Nice,Nantes,H,4,1,1.91,3.3,4.5,Nice-Nantes,1
2016-10-30,Rennes,Metz,H,1,0,1.57,4,6,Rennes-Metz,1
2016-11-04,Montpellier,Marseille,H,3,1,2.55,3.2,2.88,Montpellier-Marseille,1
2016-11-05,Angers,Lille,H,1,0,2.4,3,3.3,Angers-Lille,1
2016-11-05,Bordeaux,Lorient,H,2,1,1.75,3.5,5,Bordeaux-Lorient,1
2016-11-05,Dijon,Guingamp,D,3,3,2.5,3,3.2,Dijon-Guingamp,N
2016-11-05,Lyon,Bastia,H,2,1,1.44,4.2,8.5,Lyon-Bastia,1
2016-11-05,Monaco,Nancy,H,6,0,1.5,4,7.5,Monaco-Nancy,1
2016-11-05,Nantes,Toulouse,D,1,1,2.3,3,3.5,Nantes-Toulouse,N
2016-11-06,Caen,Nice,H,1,0,3.25,3.25,2.3,Caen-Nice,1
2016-11-06,Metz,St Etienne,D,0,0,3.8,3.2,2.1,Metz-St Etienne,N
2016-11-06,Paris SG,Rennes,H,4,0,1.22,6.5,13,Paris SG-Rennes,1
2016-11-18,Lille,Lyon,A,0,1,3.1,3.1,2.45,Lille-Lyon,2
2016-11-18,Lorient,Monaco,A,0,3,4.33,3.6,1.8,Lorient-Monaco,2
2016-11-19,Bastia,Montpellier,D,1,1,2.8,3,2.8,Bastia-Montpellier,N
2016-11-19,Nancy,Dijon,H,1,0,2.1,3.1,4,Nancy-Dijon,1
2016-11-19,Paris SG,Nantes,H,2,0,1.2,6.5,15,Paris SG-Nantes,1
