Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,B365H,B365D,B365A,idmatch,FTRfrench
2016-09-21,Metz,Bordeaux,A,0,3,3.2,3.1,2.4,Metz-Bordeaux,2
2016-09-21,Nantes,St Etienne,D,0,0,2.5,2.9,3.1,Nantes-St Etienne,N
2016-09-21,Nice,Monaco,H,4,0,3.1,3.2,2.4,Nice-Monaco,1
2016-09-21,Rennes,Marseille,H,3,2,2.3,3.3,3.2,Rennes-Marseille,1
2016-09-23,Toulouse,Paris SG,H,2,0,7,4.2,1.5,Toulouse-Paris SG,1
2016-09-24,Bastia,Guingamp,H,1,0,2.4,3,3.3,Bastia-Guingamp,1
2016-09-24,Bordeaux,Caen,D,0,0,1.85,3.6,4.33,Bordeaux-Caen,N
2016-09-24,Dijon,Rennes,H,3,0,2.8,3.2,2.6,Dijon-Rennes,1
2016-09-24,Lorient,Lyon,H,1,0,4.2,3.5,1.91,Lorient-Lyon,1
2016-09-24,Monaco,Angers,H,2,1,1.62,3.75,6,Monaco-Angers,1
2016-09-24,Montpellier,Metz,A,0,1,1.67,3.6,5.75,Montpellier-Metz,2
2016-09-25,Marseille,Nantes,H,2,1,2,3.1,4.33,Marseille-Nantes,1
2016-09-25,Nancy,Nice,A,0,1,2.5,3.1,3.1,Nancy-Nice,2
2016-09-25,St Etienne,Lille,H,3,1,2.3,3,3.5,St Etienne-Lille,1
2016-09-30,Rennes,Guingamp,H,1,0,2.05,3.2,4,Rennes-Guingamp,1
2016-10-01,Caen,Toulouse,H,1,0,2.5,3.1,3,Caen-Toulouse,1
2016-10-01,Dijon,Montpellier,D,3,3,2.6,3,3,Dijon-Montpellier,N
2016-10-01,Lille,Nancy,H,1,0,1.85,3.2,5,Lille-Nancy,1
2016-10-01,Metz,Monaco,A,0,7,4.5,3.6,1.8,Metz-Monaco,2
2016-10-01,Nantes,Bastia,H,1,0,1.95,3.2,4.5,Nantes-Bastia,1
2016-10-01,Paris SG,Bordeaux,H,2,0,1.25,5.75,13,Paris SG-Bordeaux,1
